energy;conductance_lead;conductance_junction
0.0214;1.0;0.531
0.0216;1.0;0.529
0.0218;1.0;0.528
0.022;1.0;0.526
0.0222;1.0;0.524
0.0224;1.0;0.523
0.0226;1.0;0.521
0.0228;1.0;0.52
0.023;1.0;0.518
0.0232;1.0;0.517
0.0234;1.0;0.516
0.0236;1.0;0.514
0.0238;1.0;0.513
0.024;1.0;0.512
0.0242;1.0;0.51
0.0244;1.0;0.509
0.0246;1.0;0.508
0.0248;1.0;0.507
0.025;1.0;0.505
0.0252;1.0;0.504
0.0254;1.0;0.503
0.0256;1.0;0.502
0.0258;1.0;0.501
0.026;1.0;0.5
0.0262;1.0;0.498
0.0264;1.0;0.497
0.0266;1.0;0.496
0.0268;1.0;0.495
0.027;1.0;0.494
0.0272;1.0;0.493
0.0274;1.0;0.492
0.0276;1.0;0.491
0.0278;1.0;0.49
0.028;1.0;0.489
0.0282;1.0;0.488
0.0284;1.0;0.487
0.0286;1.0;0.486
0.0288;1.0;0.485
0.029;1.0;0.484
0.0292;1.0;0.483
0.0294;1.0;0.482
0.0296;1.0;0.481
0.0298;1.0;0.48
0.03;1.0;0.479
0.0302;1.0;0.478
0.0304;1.0;0.477
0.0306;1.0;0.476
0.0308;1.0;0.475
0.031;1.0;0.474
0.0312;1.0;0.473
0.0314;1.0;0.472
0.0316;1.0;0.471
0.0318;1.0;0.47
0.032;1.0;0.469
0.0322;1.0;0.468
0.0324;1.0;0.467
0.0326;1.0;0.466
0.0328;1.0;0.465
0.033;1.0;0.464
0.0332;1.0;0.463
0.0334;1.0;0.462
0.0336;1.0;0.461
0.0338;1.0;0.46
0.034;1.0;0.459
0.0342;1.0;0.458
0.0344;1.0;0.457
0.0346;1.0;0.457
0.0348;1.0;0.456
0.035;1.0;0.455
0.0352;1.0;0.454
0.0354;1.0;0.453
0.0356;1.0;0.452
0.0358;1.0;0.451
0.036;1.0;0.45
0.0362;1.0;0.449
0.0364;1.0;0.448
0.0366;1.0;0.447
0.0368;1.0;0.446
0.037;1.0;0.445
0.0372;1.0;0.444
0.0374;1.0;0.443
0.0376;1.0;0.442
0.0378;1.0;0.441
0.038;1.0;0.44
0.0382;1.0;0.439
0.0384;1.0;0.438
0.0386;1.0;0.437
0.0388;1.0;0.436
0.039;1.0;0.435
0.0392;1.0;0.434
0.0394;1.0;0.433
0.0396;1.0;0.432
0.0398;1.0;0.431
0.04;1.0;0.43
0.0402;1.0;0.429
0.0404;1.0;0.428
0.0406;1.0;0.427
0.0408;1.0;0.426
0.041;1.0;0.425
0.0412;1.0;0.424
0.0414;1.0;0.423
0.0416;1.0;0.422
0.0418;1.0;0.421
0.042;1.0;0.42
0.0422;1.0;0.419
0.0424;1.0;0.418
0.0426;1.0;0.417
0.0428;1.0;0.415
